Member ID,Member Gender,Member Age,Member Duration(Month),Averaged Spending Per Transaction,Maximun Spending Per Transaction,Minimun Spending Per Transaction,Averaged Number of Transaction,Averaged Purchasing Discount Rate,Averaged Price in Favorite Shop,Averaged Tax Rate in Favorite Shop,Number of Goods in Favorite Shop,Number of Favorite in  Favorite Shop
3.217E+63,0,40,85,1237.333333,3424,190,0.25,0,1340,0.10897436,33,2862
b2c58f3f,1,44,50,1206,2142,270,0.083333333,0,1242.692308,0.114350441,26,4334
5c8d22e3,0,44,50,1328.85,2286,568.4,0.166666667,0.08,796.3636364,0.113332975,55,2347
42653d53,1,28,52,1173.375,1957.5,486,0.166666667,0.1,1242.692308,0.114350441,26,4334
98f5b7bb,1,50,50,3840,3840,3840,0.041666667,0,1086.551724,0.120247568,58,3205
e5c8d0c8,0,33,51,300,300,300,0.041666667,0,819.9300699,0.113902349,143,3158
61d92b35,0,27,51,320,320,320,0.041666667,0,829.75,0.113333345,40,3000
6850f8c9,0,39,51,1989.108333,3582,222.3,0.5,0.102178218,1086.551724,0.120247568,58,3205
57aa3e1c,0,30,51,1570,1570,1570,0.041666667,0,819.9300699,0.113902349,143,3158
1beae1f1,0,49,50,2860.428571,6430,360,0.291666667,0.038095238,1242.692308,0.114350441,26,4334
d47e9bda,0,42,50,3365.666667,7740,270,0.25,0,1242.692308,0.114350441,26,4334
1ad3e9d4,0,35,50,1046.2,3160,320,0.416666667,0.03,656.5,0.113333342,20,1047
1c64752c,0,34,50,1840,1840,1840,0.041666667,0,1340,0.10897436,33,2862
ef5faa82,0,48,51,978.75,2855,245,0.166666667,0.093581976,1242.692308,0.114350441,26,4334
817f7b66,0,33,50,1500,1500,1500,0.041666667,0,1086.551724,0.120247568,58,3205
0c1f2beb,0,53,68,979.25,2322,270,0.166666667,0.223899335,1086.551724,0.120247568,58,3205
79394bbe,0,32,50,740,740,740,0.041666667,0,640.0943396,0.116403826,53,1712
667065bb,0,23,41,2165,2165,2165,0.041666667,0,656.5,0.113333342,20,1047
fbe14f76,0,27,41,2875.833333,11097,128,0.25,0.094918306,796.3636364,0.113332975,55,2347
ac8d39e9,0,27,41,719,1335,234,0.125,0.024,796.3636364,0.113332975,55,2347
e945224e,0,46,42,400,400,400,0.041666667,0,233.5111111,0.108005725,45,298
6b93eb3e,0,49,51,1523.25,1674,1372.5,0.083333333,0.1,1086.551724,0.120247568,58,3205
df34e997,1,51,82,630,630,630,0.041666667,0,796.3636364,0.113332975,55,2347
3afe047e,0,45,103,2360,2360,2360,0.041666667,0,341.6,0.114350483,25,1746
efaedf68,0,29,50,850,850,850,0.041666667,0,589.8823529,0.116239291,17,603
419fadec,0,53,44,762.8571429,1575,300,0.291666667,0,341.6,0.114350483,25,1746
006e450b,0,31,49,2349,2349,2349,0.041666667,0.1,589.8823529,0.116239291,17,603
902ec7ee,0,45,50,2905,4930,1485,0.125,0.051282051,1242.692308,0.114350441,26,4334
701ebc28,0,29,12,1403.333333,2070,660,0.25,0,796.3636364,0.113332975,55,2347
ba6e4636,0,22,51,2029.727273,11040,240,0.458333333,0,656.5,0.113333342,20,1047
7e989546,0,45,51,2640,3210,2070,0.083333333,0,1340,0.10897436,33,2862
13f25661,1,44,51,4171.669231,13580,399,0.541666667,0.109385109,1086.551724,0.120247568,58,3205
e5fee2bb,0,28,44,730,1670,90,0.291666667,0.05,1340,0.10897436,33,2862
f3157a0f,0,30,43,1977.875,6727,193.5,0.166666667,0.04,1242.692308,0.114350441,26,4334
40eba4e6,0,31,44,1873.571429,5608,79,0.291666667,0.083196194,2953.783784,0.113333334,37,550
5de03944,0,29,51,564.3333333,930,160,0.25,0.009163785,1086.551724,0.120247568,58,3205
b80f50da,0,40,51,1520,1520,1520,0.041666667,0,1340,0.10897436,33,2862
495506b5,0,35,44,910,910,910,0.041666667,0.094325408,819.9300699,0.113902349,143,3158
1903ef40,0,30,51,1580,2530,630,0.083333333,0.04885321,1002.307692,0.108974355,13,767
27496354,0,35,44,2510,2510,2510,0.041666667,0.035087719,1086.551724,0.120247568,58,3205
8522d373,0,36,50,1070,1070,1070,0.041666667,0,819.9300699,0.113902349,143,3158
449c0885,0,43,50,1035,1035,1035,0.041666667,0.1,1086.551724,0.120247568,58,3205
797d5f3a,0,43,43,2275.875,3397.5,1260,0.166666667,0.1,1086.551724,0.120247568,58,3205
7f2bb22a,0,30,50,350,350,350,0.041666667,0,1340,0.10897436,33,2862
d0a3a42d,0,35,43,640,640,640,0.041666667,0,1340,0.10897436,33,2862
9b6354d7,0,37,50,2260,2260,2260,0.041666667,0,1242.692308,0.114350441,26,4334
10a1c9f7,0,46,50,5153.666667,10660,158,0.125,0,819.9300699,0.113902349,143,3158
9a099320,0,29,12,900,900,900,0.083333333,0,1086.551724,0.120247568,58,3205
2f93f4a3,0,60,50,2125,2410,1840,0.083333333,0,1086.551724,0.120247568,58,3205
b6e61c6d,0,31,50,847.5,1415,280,0.083333333,0,364.0625,0.113333283,16,690
baac17c8,0,28,43,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
9694626a,0,28,51,1261.4,2280,137,0.208333333,0.060277275,1002.307692,0.108974355,13,767
14638427,0,28,50,378.5,868,85,0.25,0,829.75,0.113333345,40,3000
6f2d4179,0,30,85,3021.1,5660,382.2,0.083333333,0.013333333,608.1463415,0.113333295,41,1528
d5c2910a,0,28,50,2380,2380,2380,0.041666667,0,1086.551724,0.120247568,58,3205
ad94c518,0,28,81,390,660,190,0.125,0.102578144,233.5111111,0.108005725,45,298
87d5b17f,0,28,41,1062.5,1645,480,0.083333333,0,364.0625,0.113333283,16,690
036912ba,0,62,41,1830,1830,1830,0.041666667,0,1086.551724,0.120247568,58,3205
7fda9345,0,50,50,657.5,1450,190,0.166666667,0.085470085,2584.186047,0.113333335,43,147
f52f7235,0,46,50,1503.772727,2520,340,0.458333333,0.126052488,1340,0.10897436,33,2862
490aa888,0,38,50,1944.0464,3762,940,1.041666667,0.079003938,589.8823529,0.116239291,17,603
c1fea06c,0,28,49,270,270,270,0.041666667,0,1242.692308,0.114350441,26,4334
bb626515,0,54,42,610,880,300,0.125,0,796.3636364,0.113332975,55,2347
ab9b409b,0,28,49,1240,1240,1240,0.041666667,0,1242.692308,0.114350441,26,4334
54a930af,0,34,42,570,570,570,0.041666667,0,1340,0.10897436,33,2862
192e1191,0,36,50,4330,4330,4330,0.041666667,0,1086.551724,0.120247568,58,3205
748356ff,0,24,41,1179.857143,5755,79,0.583333333,0.091762673,1242.692308,0.114350441,26,4334
d405368f,0,41,50,2155.327586,10233,288,1.208333333,0.09427211,819.9300699,0.113902349,143,3158
6a763753,0,24,41,2043,2043,2043,0.041666667,0.1,829.75,0.113333345,40,3000
fcfd28db,0,38,42,3653.333333,9200,600,0.125,0,819.9300699,0.113902349,143,3158
f82aa423,0,37,41,2578.95,5994,288,0.416666667,0.1,1086.551724,0.120247568,58,3205
69ab2c23,0,33,44,2677.333333,4302,1010,0.125,0.098314318,640.0943396,0.116403826,53,1712
e864c4cb,0,32,44,1619.6,3010,640,0.208333333,0.029411765,640.0943396,0.116403826,53,1712
4530e46f,0,39,43,4347.45,7192.8,1413,0.166666667,0.1,819.9300699,0.113902349,143,3158
907a86f5,0,38,41,3880,3880,3880,0.041666667,0,1086.551724,0.120247568,58,3205
379bb0f2,0,43,31,750,750,750,0.041666667,0,1242.692308,0.114350441,26,4334
85fc2a65,0,32,44,1130.285714,2772,320,0.291666667,0.033333333,1086.551724,0.120247568,58,3205
d43f4240,0,31,62,900,900,900,0.041666667,0,656.5,0.113333342,20,1047
f782866e,1,40,71,1016.525,1880,179.1,0.166666667,0.02,819.9300699,0.113902349,143,3158
35630446,0,36,44,2713,7500,210,0.125,0.107526882,796.3636364,0.113332975,55,2347
4ef7d90d,0,59,37,613.125,1190,300,0.333333333,0.01,341.6,0.114350483,25,1746
a5d36680,0,32,37,2501.728,8249.64,566,0.208333333,0.002,608.1463415,0.113333295,41,1528
d4481ec1,0,31,44,405,405,405,0.041666667,0,364.0625,0.113333283,16,690
36e5fe34,0,31,34,1532.5,2760,550,0.166666667,0.013513514,640.0943396,0.116403826,53,1712
91ca6554,0,25,44,2672.6,3735,1440,0.208333333,0.038569418,1242.692308,0.114350441,26,4334
80c88b03,0,33,43,2446.4,4233.6,1084.5,0.166666667,0.108167933,829.75,0.113333345,40,3000
0993a295,0,27,34,570,570,570,0.041666667,0,819.9300699,0.113902349,143,3158
aeafe9b2,1,33,45,1240,1240,1240,0.041666667,0,1340,0.10897436,33,2862
a516039f,0,33,34,1650,1650,1650,0.041666667,0,1340,0.10897436,33,2862
89de8770,0,35,45,5572.64,9623,2043,0.208333333,0.014509621,796.3636364,0.113332975,55,2347
eb1fa9ec,1,41,45,1240.25,3743,160,0.166666667,0,733.15625,0.119145296,64,407
973fb6b3,0,34,43,2592.454545,8290,320,0.458333333,0.028191303,1340,0.10897436,33,2862
f0824b71,0,50,40,2620,4940,300,0.083333333,0.009920635,1086.551724,0.120247568,58,3205
a5e61ba1,0,29,43,1888.7,5100,180,0.416666667,0.043649779,640.0943396,0.116403826,53,1712
0c3d5c7c,0,52,87,2293.333333,4990,720,0.125,0,341.6,0.114350483,25,1746
d95105ab,0,33,41,1546.658333,5050,275,0.5,0.064274322,733.15625,0.119145296,64,407
5f87a516,0,68,43,4212,13140,270,0.208333333,0.1,1086.551724,0.120247568,58,3205
b4ab3564,0,22,41,1610,2580,640,0.083333333,0,819.9300699,0.113902349,143,3158
0be6ea49,0,21,43,85,85,85,0.083333333,0,341.6,0.114350483,25,1746
824743f3,0,27,41,960,960,960,0.041666667,0,796.3636364,0.113332975,55,2347
0543caf2,0,33,40,3482.36,10193,830,0.208333333,0.0125,1340,0.10897436,33,2862
97bce352,0,27,43,850,850,850,0.041666667,0,1340,0.10897436,33,2862
481136cc,0,26,43,1277.5,1525,1030,0.083333333,0.091080311,1242.692308,0.114350441,26,4334
903410ad,0,26,43,607.5,895,320,0.083333333,0,829.75,0.113333345,40,3000
d83080ee,0,28,41,1152.5,1645,660,0.083333333,0,1242.692308,0.114350441,26,4334
99efe6af,0,30,41,2121.8,4230,629,0.208333333,0.023668639,819.9300699,0.113902349,143,3158
7ab0e43d,0,28,43,270,300,240,0.083333333,0,656.5,0.113333342,20,1047
c51a97e1,0,28,41,2630,2630,2630,0.041666667,0,1002.307692,0.108974355,13,767
c6e883d1,0,31,42,1125,2060,190,0.083333333,0.102564103,640.0943396,0.116403826,53,1712
6d93bb80,0,34,42,1470,2460,450,0.166666667,0,656.5,0.113333342,20,1047
bc5ee749,0,23,42,990,990,990,0.041666667,0,819.9300699,0.113902349,143,3158
9722ce88,0,34,42,1500,1500,1500,0.041666667,0,796.3636364,0.113332975,55,2347
527d92b6,0,27,42,2913.1,5050,954,0.208333333,0.085714286,341.6,0.114350483,25,1746
9f283f60,0,29,78,2070,2070,2070,0.041666667,0,364.0625,0.113333283,16,690
016af1ba,0,45,108,1659,3090,228,0.083333333,0,1002.307692,0.108974355,13,767
56465c9b,0,43,78,1619.666667,3090,870,0.125,0,608.1463415,0.113333295,41,1528
dd0e95ac,0,26,47,760.8333333,910,600,0.25,0.001976149,819.9300699,0.113902349,143,3158
2e756cea,0,25,35,1370,1370,1370,0.041666667,0,1002.307692,0.108974355,13,767
6648e93f,0,31,35,312,340,290,0.208333333,0,796.3636364,0.113332975,55,2347
88445e1a,0,44,40,510,510,510,0.041666667,0,1340,0.10897436,33,2862
b97c33dd,0,33,40,1045,1045,1045,0.041666667,0,1242.692308,0.114350441,26,4334
6.8138E+36,0,31,48,480,480,480,0.041666667,0,1086.551724,0.120247568,58,3205
667cf3c2,0,33,48,2157.5,4155,160,0.083333333,0.119047619,1242.692308,0.114350441,26,4334
084f59bc,0,48,43,3331.25,4923,2515,0.166666667,0,1242.692308,0.114350441,26,4334
41542430,0,37,48,1709.788889,5030,110,0.75,0.052512065,819.9300699,0.113902349,143,3158
e4126e72,0,63,43,1242,1242,1242,0.041666667,0.1,819.9300699,0.113902349,143,3158
68cc1762,1,28,43,540,540,540,0.041666667,0,341.6,0.114350483,25,1746
a99fae1d,0,36,45,488.8666667,1098,125,0.625,0,608.1463415,0.113333295,41,1528
281151a9,0,38,43,2827.5,4440,1215,0.083333333,0.069686411,1242.692308,0.114350441,26,4334
8b213646,0,27,37,570,820,320,0.083333333,0,608.1463415,0.113333295,41,1528
b16273ac,0,30,48,1536.666667,2220,495,0.25,0.006666667,640.0943396,0.116403826,53,1712
5da4a0e6,0,29,37,717.25,1650,99,0.166666667,0,1340,0.10897436,33,2862
62ac4fea,1,28,47,1416,1850,680,0.166666667,0,1340,0.10897436,33,2862
2812d4ee,0,24,37,1567.5,2485,650,0.083333333,0,364.0625,0.113333283,16,690
37179491,0,30,34,200,200,200,0.041666667,0,608.1463415,0.113333295,41,1528
4145e14e,0,25,34,660,660,660,0.041666667,0,796.3636364,0.113332975,55,2347
4009fb2f,0,25,41,725,725,725,0.041666667,0,608.1463415,0.113333295,41,1528
6894ddf2,0,34,41,1443.333333,2490,320,0.25,0.018435512,1242.692308,0.114350441,26,4334
ef507f4e,0,47,42,2130,2130,2130,0.041666667,0,1086.551724,0.120247568,58,3205
8c84a77c,0,46,39,2393.8,4859,60,0.208333333,0.235057436,341.6,0.114350483,25,1746
ef078b6a,0,29,40,680,680,680,0.041666667,0,796.3636364,0.113332975,55,2347
18a8defc,0,31,40,1922.5,2965,880,0.083333333,0,1340,0.10897436,33,2862
26a9a246,0,29,41,2195.6,4780,350,0.208333333,0,1340,0.10897436,33,2862
b30b0414,0,31,41,1598.666667,2298,1130,0.125,0.068003585,341.6,0.114350483,25,1746
9d059316,0,36,41,845.0714286,1420,215,0.583333333,0.014803922,341.6,0.114350483,25,1746
6f23af5d,0,38,48,3108.666667,6016,300,0.125,0,1086.551724,0.120247568,58,3205
3a0af720,1,30,48,2498.75,3780,195,0.166666667,0.039630601,640.0943396,0.116403826,53,1712
60ac38eb,0,33,47,480,480,480,0.041666667,0,608.1463415,0.113333295,41,1528
88ac3eb1,0,28,48,320,320,320,0.041666667,0,819.9300699,0.113902349,143,3158
47de2c12,0,53,48,5010,5010,5010,0.041666667,0.098203359,819.9300699,0.113902349,143,3158
ca42617b,0,40,48,1000,1000,1000,0.041666667,0,819.9300699,0.113902349,143,3158
f4980a9e,0,29,48,859.5,1680,288,0.166666667,0.037204301,829.75,0.113333345,40,3000
6ef8f2cd,1,31,41,1775,1775,1775,0.041666667,0,829.75,0.113333345,40,3000
aea814ca,0,28,48,675,675,675,0.041666667,0,829.75,0.113333345,40,3000
0dcb340d,0,30,41,1673.8,3384,830,0.208333333,0.058369429,829.75,0.113333345,40,3000
91522745,1,35,30,1220,1220,1220,0.041666667,0,819.9300699,0.113902349,143,3158
1720ffd4,0,33,67,336,510,198,0.125,0.167504188,829.75,0.113333345,40,3000
44643047,0,48,48,2864.335,6786.01,770,0.25,0.067646042,1242.692308,0.114350441,26,4334
80d9e773,0,36,103,3350,3350,3350,0.041666667,0,819.9300699,0.113902349,143,3158
bef2d7f0,0,27,69,200,200,200,0.041666667,0,608.1463415,0.113333295,41,1528
26e4a0b8,0,41,72,1189.333333,1645,943,0.125,0.061851556,1242.692308,0.114350441,26,4334
e53e58f6,1,47,49,4059.8,6180,2050,0.125,0.009090909,1086.551724,0.120247568,58,3205
66410615,0,29,48,5210,5210,5210,0.041666667,0,1002.307692,0.108974355,13,767
f24c98a9,0,27,55,480,480,480,0.041666667,0,364.0625,0.113333283,16,690
fe5626f6,0,49,47,1165.757895,4600,138,0.791666667,0.0628676,341.6,0.114350483,25,1746
a06102e1,0,25,49,1650,1650,1650,0.041666667,0,1340,0.10897436,33,2862
6cc6fcf4,0,38,49,750,1010,490,0.083333333,0,1086.551724,0.120247568,58,3205
99932223,1,53,49,3588.636364,6680,1850,0.916666667,0.115091207,1002.307692,0.108974355,13,767
a46433c0,0,37,49,2115,3120,1110,0.083333333,0,640.0943396,0.116403826,53,1712
2f4ea852,0,34,49,1772.285714,2880,250,0.291666667,0.028668975,640.0943396,0.116403826,53,1712
a05775e4,0,28,49,225,295,155,0.083333333,0,364.0625,0.113333283,16,690
5db3fc28,1,27,49,895,1605,405,0.291666667,0,589.8823529,0.116239291,17,603
16a47c7a,0,25,41,320,320,320,0.041666667,0,829.75,0.113333345,40,3000
06ad0ec3,0,29,13,1040.625,1800,320,0.615384615,0,640.0943396,0.116403826,53,1712
24667f2c,0,47,4,953.3333333,1680,320,0.75,0,1086.551724,0.120247568,58,3205
317d3f04,0,30,41,888.75,2010,330,0.166666667,0,1242.692308,0.114350441,26,4334
969fb0ff,0,37,40,4222.25,11934,882,0.166666667,0,1242.692308,0.114350441,26,4334
836ce85f,0,54,49,715,1850,300,0.166666667,0,819.9300699,0.113902349,143,3158
90113cb0,1,52,49,2795.777778,6480,910,0.375,0.090793441,1086.551724,0.120247568,58,3205
373d10b4,0,27,48,851.8,1840,50,0.208333333,0.223372441,1340,0.10897436,33,2862
1f4d59d6,0,33,41,1168.4,2950,320,0.208333333,0.027693529,829.75,0.113333345,40,3000
79c15721,0,27,49,1860,1880,1840,0.083333333,0.028010894,640.0943396,0.116403826,53,1712
29a3b238,0,28,49,1200,1200,1200,0.041666667,0,1280.356164,0.114447958,73,562
b8669934,0,47,80,1680,1680,1680,0.041666667,0,1086.551724,0.120247568,58,3205
49908258,0,35,49,1909.568421,5319,441,0.791666667,0.092461143,1086.551724,0.120247568,58,3205
75538861,0,32,49,610,650,570,0.083333333,0,1086.551724,0.120247568,58,3205
1efe9ae3,0,34,112,720,1220,320,0.125,0,829.75,0.113333345,40,3000
55cafe96,0,36,49,1280,1280,1280,0.041666667,0,796.3636364,0.113332975,55,2347
a9cc984b,0,29,45,3887.75,9870,1505,0.166666667,0,1340,0.10897436,33,2862
2567380b,0,52,49,737.8384615,2000,225,0.541666667,0.022887931,640.0943396,0.116403826,53,1712
f8a31a03,0,26,49,2418.2,3960,320,0.375,0.038786278,640.0943396,0.116403826,53,1712
f24ebff0,0,37,48,3340,3340,3340,0.041666667,0,796.3636364,0.113332975,55,2347
5ce35aed,0,46,49,3213.65,11240,747,0.416666667,0.0976039,819.9300699,0.113902349,143,3158
2b1559cb,0,28,49,1194,2831,350,0.166666667,0,364.0625,0.113333283,16,690
6b24550b,0,44,115,820,820,820,0.041666667,0,1242.692308,0.114350441,26,4334
4484c3a6,0,41,55,1005,1130,880,0.083333333,0,1086.551724,0.120247568,58,3205
8fc64129,0,52,49,747,747,747,0.041666667,0.1,1086.551724,0.120247568,58,3205
4116ac91,0,34,48,7232.5,11770,2695,0.083333333,0.071555355,364.0625,0.113333283,16,690
9b6d063e,0,59,48,2313.545455,5100,250,0.458333333,0.011904762,1086.551724,0.120247568,58,3205
71ba8f43,0,40,49,1088,1660,390,0.208333333,0,341.6,0.114350483,25,1746
bcfc48dd,0,27,49,290,290,290,0.041666667,0,1086.551724,0.120247568,58,3205
cf264705,0,50,48,426.6666667,680,300,0.125,0,341.6,0.114350483,25,1746
650de0e2,0,35,45,3620,3620,3620,0.041666667,0,1242.692308,0.114350441,26,4334
0ea5da1b,0,32,60,2473.333333,6650,375,0.125,0,2953.783784,0.113333334,37,550
25cca121,0,39,50,2412,3325,1370,0.208333333,0.008742548,1242.692308,0.114350441,26,4334
c5901515,0,35,49,3389.05,16265,270,0.833333333,0.085594248,1242.692308,0.114350441,26,4334
c368c3d8,0,31,50,2060,2060,2060,0.041666667,0,1086.551724,0.120247568,58,3205
dc2941a4,0,29,67,2038,4193,651,0.125,0,796.3636364,0.113332975,55,2347
d329744e,0,31,50,2333.066667,5575,310,0.125,0.03,364.0625,0.113333283,16,690
026050b7,0,44,45,3221.6,6820,380,0.208333333,0,796.3636364,0.113332975,55,2347
f5b49720,0,31,45,350,350,350,0.041666667,0,364.0625,0.113333283,16,690
f4b452d3,0,25,47,2145.5,5940,270,0.416666667,0.04842739,1002.307692,0.108974355,13,767
f24e9973,0,42,47,920,920,920,0.041666667,0,1086.551724,0.120247568,58,3205
cebbe92a,0,35,48,580,580,580,0.041666667,0,796.3636364,0.113332975,55,2347
536b5349,0,38,49,2090,3030,800,0.125,0,1242.692308,0.114350441,26,4334
332c6843,0,26,48,812.2466667,1150,527.24,0.125,0.0125,341.6,0.114350483,25,1746
42b83e6d,1,28,50,3700,3700,3700,0.041666667,0.097560976,2953.783784,0.113333334,37,550
d7f904a5,1,29,40,1304,2130,478,0.083333333,0.018939394,640.0943396,0.116403826,53,1712
32702d11,0,39,48,1830,2440,1220,0.083333333,0,1242.692308,0.114350441,26,4334
1952e392,0,35,66,1480,2110,850,0.083333333,0,1086.551724,0.120247568,58,3205
f9ea774d,1,37,40,7271.528,15300,1173,0.208333333,0.017525318,819.9300699,0.113902349,143,3158
8402db97,0,46,49,3275.846154,8494,868,0.541666667,0.008627068,1086.551724,0.120247568,58,3205
a0e531c4,0,42,49,1566.457143,2858,235,0.291666667,0.024166379,1086.551724,0.120247568,58,3205
48ebbe8d,0,43,49,1738.333333,3537,828,0.125,0.071428571,1002.307692,0.108974355,13,767
d45bd47b,0,37,40,4645.857143,10790,1377,0.291666667,0.060396205,1242.692308,0.114350441,26,4334
478e5fad,0,33,5,710,710,710,0.2,0,829.75,0.113333345,40,3000
70230815,0,38,50,900,1180,620,0.083333333,0,796.3636364,0.113332975,55,2347
c84badee,0,36,48,990,990,990,0.041666667,0,341.6,0.114350483,25,1746
2533da25,0,31,48,2000,2000,2000,0.041666667,0,733.15625,0.119145296,64,407
e20eb07a,0,34,49,395,395,395,0.041666667,0,733.15625,0.119145296,64,407
1e95de0c,1,40,49,2050,2050,2050,0.041666667,0,1242.692308,0.114350441,26,4334
9215344e,0,44,42,2597,5480,70,0.208333333,0.054742242,1242.692308,0.114350441,26,4334
2adbb873,0,29,42,998.2333333,2605,250,1,0.011215827,1242.692308,0.114350441,26,4334
ce9a3726,0,33,48,2730,2970,2490,0.083333333,0,829.75,0.113333345,40,3000
8035f484,0,27,50,2349,4586,340,0.166666667,0,796.3636364,0.113332975,55,2347
ce7dc674,0,28,49,1236.666667,1690,500,0.125,0,656.5,0.113333342,20,1047
39fb8445,0,30,47,868.2,1791,378,0.208333333,0.066666667,819.9300699,0.113902349,143,3158
b4fd83f0,0,28,23,320,320,320,0.043478261,0,1242.692308,0.114350441,26,4334
21c9184e,0,63,40,1470,1470,1470,0.041666667,0,1340,0.10897436,33,2862
d6cd2ada,0,49,48,1437.666667,4560,490,0.25,0.027266115,829.75,0.113333345,40,3000
8890652,0,37,48,1270,1270,1270,0.041666667,0,656.5,0.113333342,20,1047
5c150eef,0,27,40,1295.875,2124,994.5,0.166666667,0.06,796.3636364,0.113332975,55,2347
a11223ce,0,42,40,1145,1570,695,0.125,0.076591667,1086.551724,0.120247568,58,3205
33d37c25,0,37,40,2968.58,7730,85,0.416666667,0.040851189,1086.551724,0.120247568,58,3205
060429f8,0,49,43,4136.25,16173,378,0.25,0.108333446,1086.551724,0.120247568,58,3205
5afe5a17,0,45,47,3167,10170,468,0.166666667,0.118718778,1242.692308,0.114350441,26,4334
8b2b658b,0,24,42,939.2230769,2060,45,0.541666667,0.07918501,656.5,0.113333342,20,1047
141c8353,0,31,35,480,480,480,0.041666667,0,1340,0.10897436,33,2862
394ce44c,0,26,46,510,510,510,0.041666667,0,341.6,0.114350483,25,1746
8e469b02,1,42,35,2345,2345,2345,0.041666667,0,1340,0.10897436,33,2862
10007188,0,45,47,1121.75,2086,295,0.166666667,0,819.9300699,0.113902349,143,3158
d098dfc4,0,32,42,400.8125,1560,200,0.666666667,0,608.1463415,0.113333295,41,1528
5737bc75,0,31,42,1166.2,1166.2,1166.2,0.041666667,0.02,1086.551724,0.120247568,58,3205
dfd578a4,0,29,42,1410,1540,1280,0.083333333,0.139917077,640.0943396,0.116403826,53,1712
c699f03c,0,30,46,772.5,935,610,0.083333333,0,341.6,0.114350483,25,1746
39a7bb53,0,29,35,535,550,520,0.083333333,0,341.6,0.114350483,25,1746
3bd607f0,0,32,35,922.5,1550,295,0.083333333,0,640.0943396,0.116403826,53,1712
6e1cef2b,0,46,41,480,480,480,0.041666667,0,341.6,0.114350483,25,1746
38d9bb9a,1,33,41,875,875,875,0.041666667,0,364.0625,0.113333283,16,690
549cc929,0,29,47,882,882,882,0.041666667,0.02,656.5,0.113333342,20,1047
3b441741,0,32,47,5855.333333,13616,1450,0.125,0,1086.551724,0.120247568,58,3205
4bff878d,0,43,47,1361.25,2668,400,0.333333333,0,1242.692308,0.114350441,26,4334
df194127,0,31,39,1168.866667,2216,333.2,0.25,0.0025,1002.307692,0.108974355,13,767
a1a06ea0,0,27,46,750,750,750,0.041666667,0,1340,0.10897436,33,2862
65087ebd,0,28,47,270,270,270,0.041666667,0.1,819.9300699,0.113902349,143,3158
3deba05f,0,30,39,850,850,850,0.041666667,0,1340,0.10897436,33,2862
b7354671,1,33,47,1240,1240,1240,0.041666667,0,1340,0.10897436,33,2862
e4c7aa7c,0,42,46,3119,4350,2480,0.166666667,0.033254572,1242.692308,0.114350441,26,4334
9bdfd291,0,60,47,270,270,270,0.041666667,0,1242.692308,0.114350441,26,4334
37dc3873,0,28,47,610,610,610,0.041666667,0,819.9300699,0.113902349,143,3158
390f3d0b,0,33,47,755.5555556,1460,230,0.375,0.037348273,341.6,0.114350483,25,1746
bc4d3602,0,25,47,1070,1070,1070,0.041666667,0,1242.692308,0.114350441,26,4334
a9a10842,0,30,46,2677.222222,19585,175,0.375,0.022184724,608.1463415,0.113333295,41,1528
9e4cb1eb,0,27,47,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
e0191981,0,43,43,855,1515,390,0.166666667,0,608.1463415,0.113333295,41,1528
fa748332,0,26,47,445,810,80,0.083333333,0.238095238,1086.551724,0.120247568,58,3205
a2ed5fbf,0,30,22,5177.857143,18650,650,0.318181818,0.046836577,1280.356164,0.114447958,73,562
3300a3cf,0,30,47,300,300,300,0.041666667,0,1086.551724,0.120247568,58,3205
0934aa9e,1,30,47,1354.5,1449,1260,0.083333333,0.04,829.75,0.113333345,40,3000
52b8e62d,0,55,43,1665,1665,1665,0.041666667,0.1,1280.356164,0.114447958,73,562
bcecfd94,0,29,44,333.3333333,390,300,0.125,0,341.6,0.114350483,25,1746
b38348e3,0,47,44,612,612,612,0.041666667,0.1,233.5111111,0.108005725,45,298
f534a1d6,0,43,44,3360,3730,2990,0.083333333,0.094423043,1242.692308,0.114350441,26,4334
43bb0252,0,24,46,1150,1150,1150,0.041666667,0,829.75,0.113333345,40,3000
3e334ffc,0,44,45,2000,2000,2000,0.041666667,0,608.1463415,0.113333295,41,1528
e5b2b98d,0,28,45,870,1160,580,0.083333333,0,341.6,0.114350483,25,1746
e2471fe6,0,22,47,1118.473684,3865,55,0.791666667,0.018934586,589.8823529,0.116239291,17,603
6ab5ac86,0,36,108,725,725,725,0.041666667,0,829.75,0.113333345,40,3000
e00873e2,0,33,47,1000,1000,1000,0.041666667,0,1280.356164,0.114447958,73,562
daab72a4,0,48,12,3110,5475,290,0.25,0.056147068,1242.692308,0.114350441,26,4334
e780ddb0,0,46,69,4950,4950,4950,0.041666667,0,1002.307692,0.108974355,13,767
fa8199f8,0,49,47,1203.272727,4140,350,0.458333333,0,1242.692308,0.114350441,26,4334
1b7828e1,0,28,46,556.6666667,1070,280,0.125,0,1086.551724,0.120247568,58,3205
1eb265c8,0,23,47,320,320,320,0.041666667,0,829.75,0.113333345,40,3000
dd868dea,0,25,46,300,300,300,0.041666667,0,819.9300699,0.113902349,143,3158
58f60c3b,0,24,46,3250,3250,3250,0.041666667,0,1002.307692,0.108974355,13,767
0ea0c046,0,51,44,622.2,1140,279,0.208333333,0.096586051,796.3636364,0.113332975,55,2347
